outcode,latitude,longitude
CW7,53.190048693641614,-2.5287310254335256
CW8,53.25315147349506,-2.5649756244384543
CW9,53.25855712654615,-2.5016230019029493
CW98,53.0882,-2.4311115
DA1,51.44807916271722,0.2094881832543444
DA10,51.4411159352518,0.3024429100719424
DA11,51.43472314923619,0.35047386251468865
DA12,51.427782464503046,0.38719068255578093
DA13,51.37812253333333,0.3513797626666667
DA14,51.42492815686275,0.1120176137254902
DA15,51.441556713147406,0.09808704581673307
DA16,51.46484346289753,0.10622241166077738
DA17,51.48652075801749,0.14882836734693877
DA18,51.49428720588236,0.1363028382352941
DA2,51.43238418287938,0.23357282684824904
DA3,51.38414412921348,0.30833971629213486
DA4,51.38863962962963,0.23239274074074073
DA5,51.440633371298404,0.14556078132118452
DA6,51.45510391304347,0.13923116205533598
DA7,51.465648150887574,0.1461644704142012
DA8,51.475753886328725,0.17559309677419355
DA9,51.44795663663663,0.2779439069069069
DD1,56.46100484140234,-2.976573220367279
DD10,56.749549606414,-2.4259347303206997
DD11,56.573576751592356,-2.598989142250531
DD2,56.47032992879747,-3.031914212816456
DD3,56.48324987410072,-2.9899823660071942
DD4,56.482147694974,-2.9355582703639516
DD5,56.480177431192665,-2.8578049847094804
DD6,56.435866242937855,-2.927553056497175
DD7,56.50275368700265,-2.7208117188328913
DD8,56.65585295230263,-2.9223471060855264
DD9,56.748262750582754,-2.668326459207459
DE1,52.92196354792561,-1.4772458612303292
DE11,52.77273511131725,-1.5564767226345082
DE12,52.72310567901234,-1.5535480564373898
DE13,52.8069900203666,-1.6937516211812627
DE14,52.80449179066835,-1.6440735535939472
DE15,52.796872440366975,-1.6104301192660548
DE21,52.93411398096749,-1.4316878818398096
DE22,52.93416474513438,-1.4999639629286377
DE23,52.900297686635945,-1.4981168986175115
DE24,52.888975248525696,-1.4527104321819715
DE3,52.91013589519651,-1.543477521834061
DE4,53.126702458536585,-1.5652504331707315
DE45,53.214568370607026,-1.6786293546325879
DE5,53.04480419475655,-1.4026154531835207
DE55,53.10262291599354,-1.3729496712439417
DE56,53.02255029379761,-1.475362366702938
DE6,52.99066667519182,-1.71646902685422
